Sample_Index,NMDS1,NMDS2,Site,Plant,Plant_ID,Compartment
387,-0.46853918150664425,0.039390542208873336,3,8,3_8,Root
389,0.11320857499443115,-0.09328315424013606,3,8,3_8,Soil_1m
391,0.5379124110500068,-0.22596120982174883,3,8,3_8,Soil_p
401,-0.05227757696369669,-0.06498861315091832,3,9,3_9,Root
403,0.08721122214338566,-0.1738860732991366,3,9,3_9,Soil_1m
405,0.26705687928041977,-0.19693946899985104,3,9,3_9,Soil_p
415,-0.0935587048568334,-0.017818410539203054,3,10,3_10,Root
417,0.016284431036240953,-0.09795405357159419,3,10,3_10,Soil_1m
419,0.18639522105854686,-0.032113283274780295,3,10,3_10,Soil_p
429,-1.0860147470945212,-1.163139414531825,4,1,4_1,Root
431,0.31351823556799785,-0.18354344198438205,4,1,4_1,Soil_1m
433,0.3262967801039929,0.07886758544284797,4,1,4_1,Soil_p
443,-0.5714381844892579,0.37775995770645765,4,2,4_2,Root
445,0.5028974848729602,-0.088723564112758585,4,2,4_2,Soil_1m
447,0.11328114857104862,0.14378683877555024,4,2,4_2,Soil_p
457,-0.09976739435772994,0.11724983510695096,4,3,4_3,Root
459,0.4904563865911281,-0.15505497408771798,4,3,4_3,Soil_1m
461,0.5963843445175604,0.023902331781831584,4,3,4_3,Soil_p
471,-0.58705739942417,0.1704486499466281,4,4,4_4,Root
473,0.2714694607160171,0.050664113315728114,4,4,4_4,Soil_1m
475,-0.5583124400503663,-0.010375880919897959,4,4,4_4,Soil_p
485,-0.8275352304032798,0.15204705242844208,4,5,4_5,Root
487,0.2777577411619136,0.031960095271006524,4,5,4_5,Soil_1m
489,0.2434466800692185,-0.3546353224369148,4,5,4_5,Soil_p
499,-0.1718471385505582,-0.13005829726913368,4,6,4_6,Root
501,0.5116561296227916,0.0565130290237002,4,6,4_6,Soil_1m
503,0.73861258242179,-0.12497253479864502,4,6,4_6,Soil_p
513,-0.07320396058164813,0.3383568554140496,4,7,4_7,Root
515,0.9903994264638859,0.258483286787009,4,7,4_7,Soil_1m
517,0.9452937951986898,-0.0541258019463515,4,7,4_7,Soil_p
527,-0.1285993032190672,0.30582373565979787,4,8,4_8,Root
529,0.5194262538443473,0.06964571453783354,4,8,4_8,Soil_1m
531,1.054787668224224,0.04752954903959038,4,8,4_8,Soil_p
541,-0.7456945287636809,0.4251660135759073,4,9,4_9,Root
543,0.4432806904052166,0.05828719701506017,4,9,4_9,Soil_1m
545,0.6534228590584383,-0.06068140401268879,4,9,4_9,Soil_p
555,-0.7853667012949885,0.2672096751725861,4,10,4_10,Root
557,0.7106182682666238,0.8665989826566863,4,10,4_10,Soil_1m
559,0.22037954237869192,-0.30441470860892594,4,10,4_10,Soil_p
569,-0.06789074459454518,0.27290036546275487,5,1,5_1,Root
571,0.17017959913243175,0.023022831848420775,5,1,5_1,Soil_1m
573,0.08950732310288788,0.1363064444660886,5,1,5_1,Soil_p
583,-0.5606029192474331,1.0660247307767325,5,2,5_2,Root
585,-0.1062191427987341,0.15345254025635144,5,2,5_2,Soil_1m
587,-0.13701325975496154,0.39314540896973105,5,2,5_2,Soil_p
597,-0.775435018069006,-0.3531370659831142,5,3,5_3,Root
599,-1.184887638323758,-0.5023089885978931,5,3,5_3,Soil_1m
601,-0.17629697883891457,0.2826182649829279,5,3,5_3,Soil_p
611,-0.8333676333913766,-0.10187163617257987,5,4,5_4,Root
613,-0.16060102128985124,0.2373635196424937,5,4,5_4,Soil_1m
615,-0.37591088553404023,0.3960499942896283,5,4,5_4,Soil_p
625,-0.04664459433943537,0.28746092880223895,5,5,5_5,Root
627,0.20687739502978406,0.1387455231477942,5,5,5_5,Soil_1m
629,0.15637307169747955,0.22146920670535833,5,5,5_5,Soil_p
639,-0.08233650481094767,0.20091296516009202,5,6,5_6,Root
641,0.035749775331471216,0.19360703878217694,5,6,5_6,Soil_1m
643,0.04686454234449692,0.14152607507082937,5,6,5_6,Soil_p
653,0.05507940095550185,0.10666219572367562,5,7,5_7,Root
655,-0.3361737818000845,-0.4365420402300651,5,7,5_7,Soil_1m
657,0.10041879451250003,0.0980275669045455,5,7,5_7,Soil_p
667,0.02491310355930737,0.3104130490292632,5,8,5_8,Root
669,0.04486667136479653,0.2762916670052146,5,8,5_8,Soil_1m
671,0.24437346959677766,0.38586885488323514,5,8,5_8,Soil_p
681,-0.10044029261593584,0.094563083163092,5,9,5_9,Root
683,0.11774859188437971,0.1981936540897516,5,9,5_9,Soil_1m
685,0.05746403512076035,0.22491359951094989,5,9,5_9,Soil_p
695,-0.41008124159955583,0.16934348035537844,5,10,5_10,Root
697,0.1668152613968619,0.02877049052580587,5,10,5_10,Soil_1m
699,0.03996674036961937,0.08083871007961625,5,10,5_10,Soil_p
