Sample_Index,NMDS1,NMDS2,Site,Plant,Plant_ID,Compartment
295,0.14631998545215713,1.379897850587624,3,2,3_2,Fruit_EN
297,0.21400979159571476,0.3934325963225504,3,2,3_2,Fruit_EP
301,0.7511265763263466,0.3124098798924927,3,2,3_2,Leaf_EP
309,-0.05378856738894397,1.0319747381883488,3,3,3_3,Fruit_EN
311,0.09607921071519131,0.20995999746796185,3,3,3_3,Fruit_EP
313,0.16239974103323612,-0.19428169791355723,3,3,3_3,Leaf_EN
315,0.9887447462357634,0.2445743157709827,3,3,3_3,Leaf_EP
323,-0.5571491460026339,1.4533094945600673,3,4,3_4,Fruit_EN
325,-0.20873516378241694,0.32339188330723734,3,4,3_4,Fruit_EP
327,0.23198471284144082,-0.18597546004831778,3,4,3_4,Leaf_EN
329,0.7899185839047038,-0.09790386316896506,3,4,3_4,Leaf_EP
337,-0.8191351632548098,-0.5365470946463188,3,5,3_5,Fruit_EN
339,-1.1045195400606331,1.166572437430902,3,5,3_5,Fruit_EP
341,0.37973804611492035,-0.1766992481413404,3,5,3_5,Leaf_EN
343,0.9500449894634098,0.2138687114344915,3,5,3_5,Leaf_EP
351,-0.6889076662264273,-0.6407951200067296,3,6,3_6,Fruit_EN
353,-0.7704935509894947,-0.10682924818289746,3,6,3_6,Fruit_EP
355,-0.0010425205033877999,0.46270896480326157,3,6,3_6,Leaf_EN
357,1.1279136187037686,-0.11044625613631834,3,6,3_6,Leaf_EP
365,-0.5927772216439743,-0.6851468762215314,3,7,3_7,Fruit_EN
367,-0.7375928818366886,0.11843879381757705,3,7,3_7,Fruit_EP
369,0.3487226484969993,-0.30136820749213383,3,7,3_7,Leaf_EN
371,0.6583738863212737,0.0393863337452946,3,7,3_7,Leaf_EP
379,-0.879293635361149,-0.4741207650359243,3,8,3_8,Fruit_EN
381,-0.719658792039305,-0.13196438677251907,3,8,3_8,Fruit_EP
383,-0.029077643648957954,-0.3222973682401796,3,8,3_8,Leaf_EN
385,0.8482261876953447,-0.09634305978425989,3,8,3_8,Leaf_EP
393,-0.8340742887132195,-0.37163658565329627,3,9,3_9,Fruit_EN
395,-0.8396755201020331,-0.2146624851427745,3,9,3_9,Fruit_EP
397,0.2842360792909293,-0.3188044311350966,3,9,3_9,Leaf_EN
411,0.06035214712907468,-0.3975079211891702,3,10,3_10,Leaf_EN
413,0.9011150242042577,-0.23484592677329336,3,10,3_10,Leaf_EP
421,-0.930781376369612,1.5933801576070399,4,1,4_1,Fruit_EN
423,-0.05048233787607854,1.4639837947485101,4,1,4_1,Fruit_EP
425,0.6091611768037968,-0.2106684455627325,4,1,4_1,Leaf_EN
427,0.7900257019656691,-0.24139307938957902,4,1,4_1,Leaf_EP
435,-0.6445888546470664,-0.8215514823744582,4,2,4_2,Fruit_EN
437,-0.5310347809698677,1.1665065654796438,4,2,4_2,Fruit_EP
439,0.349021524105445,-0.003891348973730169,4,2,4_2,Leaf_EN
441,0.8656873413039543,0.3037169877507897,4,2,4_2,Leaf_EP
449,-0.8864589868889745,-0.4248504078707083,4,3,4_3,Fruit_EN
451,-1.1586697275950824,-0.4373078298782532,4,3,4_3,Fruit_EP
453,0.6706204138921393,-0.0420414487453421,4,3,4_3,Leaf_EN
455,0.9731412983197185,0.13516264804757663,4,3,4_3,Leaf_EP
463,-0.4984188074375746,-0.5525591862537161,4,4,4_4,Fruit_EN
