Site_1,Site_2,Same_Site,Plant_1,Plant_2,Plant_1_ID,Plant_2_ID,Pair,Soil_1m,Soil_p,Root,Leaf_EN,Leaf_EP,Fruit_EN,Fruit_EP
1,3,FALSE,2,8,1_2,3_8,1_2 vs 3_8,0.36209820565628187,0.4558827407258309,0.3797036029536954,0.5267997462253114,0.4708693610996312,NA,0.593306440043254
1,3,FALSE,2,9,1_2,3_9,1_2 vs 3_9,0.2768159610976073,0.3246524656895547,0.20238500465965023,0.34203116275606693,NA,NA,0.5342111422060525
1,3,FALSE,2,10,1_2,3_10,1_2 vs 3_10,0.3393799632010088,0.2321808654580919,0.25647860085908775,0.5145927375209695,0.5397712437196263,NA,NA
1,4,FALSE,2,1,1_2,4_1,1_2 vs 4_1,0.2793399495385325,0.39428152871293703,0.7770455068539057,0.468246081861362,0.5850163344164906,NA,0.8214668475315663
1,4,FALSE,2,2,1_2,4_2,1_2 vs 4_2,0.3735912221078782,0.38478512171506374,0.5215806289339272,0.3791535593385706,0.43417786508212514,NA,0.7879127251479773
1,4,FALSE,2,3,1_2,4_3,1_2 vs 4_3,0.29672704856768084,0.5011302605685397,0.33501854928756225,0.21476469448312874,0.34084668080300135,NA,0.590450569994833
1,4,FALSE,2,4,1_2,4_4,1_2 vs 4_4,0.3669064488228109,0.4838253581443288,0.44343223586494024,0.22151410206941569,0.3268154393377703,NA,0.8208426003318576
1,4,FALSE,2,5,1_2,4_5,1_2 vs 4_5,0.37719377157047884,0.4029812667309112,0.5227512238169014,0.2647360063875675,0.42819686319695094,NA,0.5787297570029009
1,4,FALSE,2,6,1_2,4_6,1_2 vs 4_6,0.40266650184383157,0.534326581663548,0.3131813476789313,0.29781810237001827,0.33491012681750815,NA,0.46498103139520947
1,4,FALSE,2,7,1_2,4_7,1_2 vs 4_7,0.6166283866244225,0.6204393717956945,0.39603151354542526,0.30310562097088983,0.336387448350688,NA,0.6641692769987085
1,4,FALSE,2,8,1_2,4_8,1_2 vs 4_8,0.4387295076991713,0.6733824523122539,0.38343032670443267,0.28876103432248834,0.3427472654270207,NA,0.47158473688198327
1,4,FALSE,2,9,1_2,4_9,1_2 vs 4_9,0.4170067208673611,0.5076895250788236,0.571248507030241,0.18119694398023628,0.43047013153323305,NA,0.7184099248899999
1,4,FALSE,2,10,1_2,4_10,1_2 vs 4_10,0.7162993463434224,0.3611677572566007,0.5395911930862689,NA,NA,NA,0.4721478600398251
1,5,FALSE,2,1,1_2,5_1,1_2 vs 5_1,0.35463454675524214,0.34226560609173456,0.40309931701631774,0.6177365896306255,0.6166950650435934,NA,0.7156005828836832
1,5,FALSE,2,2,1_2,5_2,1_2 vs 5_2,0.5150323843260696,0.4482724735409432,0.6605656449863715,0.26566239025073796,0.4619633066721442,NA,0.7522067900855613
