tax_id	species	genus	family	order	class	phylum	superkingdom	605.filtered	61.filtered	1057.filtered	579.filtered	243.filtered	889.filtered	763.filtered	229.filtered	1085.filtered	537.filtered	383.filtered	465.filtered-threshold-0.0001	369.filtered	169.filtered	103.filtered	283.filtered	929.filtered	7.filtered	185.filtered	931.filtered	679.filtered-threshold-0.0001	707.filtered	169.filtered-threshold-0.0001	381.filtered	761.filtered	791.filtered	663.filtered	619.filtered	455.filtered-threshold-0.0001	343.filtered	561.filtered	337.filtered	147.filtered	411.filtered	213.filtered	89.filtered	187.filtered	733.filtered	563.filtered	113.filtered	901.filtered	831.filtered	595.filtered	1113.filtered	633.filtered	355.filtered	635.filtered	525.filtered	425.filtered	201.filtered	133.filtered-threshold-0.0001	157.filtered	873.filtered	255.filtered	159.filtered	875.filtered	227.filtered	455.filtered	721.filtered-threshold-0.0001	119.filtered	691.filtered	273.filtered	77.filtered	567.filtered	143.filtered-threshold-0.0001	329.filtered	131.filtered	281.filtered	719.filtered-threshold-0.0001	437.filtered	309.filtered	7.filtered-threshold-0.0001	547.filtered	985.filtered	315.filtered-threshold-0.0001	535.filtered	269.filtered	45.filtered	693.filtered	241.filtered	231.filtered-threshold-0.0001	943.filtered	481.filtered	761.filtered-threshold-0.0001	73.filtered	1029.filtered	1055.filtered	63.filtered	577.filtered	603.filtered	199.filtered	733.filtered-threshold-0.0001	679.filtered	463.filtered	133.filtered	19.filtered-threshold-0.0001	903.filtered	859.filtered	833.filtered	127.filtered	707.filtered-threshold-0.0001	647.filtered	213.filtered-threshold-0.0001	245.filtered	43.filtered	393.filtered	747.filtered	453.filtered	523.filtered	609.filtered	575.filtered	141.filtered-threshold-0.0001	385.filtered	33.filtered	173.filtered	525.filtered-threshold-0.0001	719.filtered	239.filtered	845.filtered	413.filtered	497.filtered	621.filtered	845.filtered-threshold-0.0001	803.filtered	269.filtered-threshold-0.0001	987.filtered	775.filtered	155.filtered	371.filtered	357.filtered-threshold-0.0001	1001.filtered	87.filtered	1013.filtered	957.filtered	367.filtered	901.filtered-threshold-0.0001	397.filtered	873.filtered-threshold-0.0001	271.filtered	593.filtered	197.filtered	1043.filtered	197.filtered-threshold-0.0001	211.filtered-threshold-0.0001	253.filtered	705.filtered	297.filtered	71.filtered	129.filtered	721.filtered	311.filtered	421.filtered	161.filtered	973.filtered	549.filtered	259.filtered	589.filtered	365.filtered	423.filtered-threshold-0.0001	75.filtered	847.filtered	5.filtered-threshold-0.0001	439.filtered	287.filtered	623.filtered	313.filtered	427.filtered	735.filtered	189.filtered	85.filtered	339.filtered	533.filtered	469.filtered	861.filtered	651.filtered	509.filtered	199.filtered-threshold-0.0001	665.filtered	423.filtered	5.filtered	749.filtered	175.filtered	21.filtered-threshold-0.0001	465.filtered	3.filtered	617.filtered	225.filtered-threshold-0.0001	117.filtered-threshold-0.0001	521.filtered	323.filtered	91.filtered	119.filtered-threshold-0.0001	301.filtered	467.filtered	777.filtered	315.filtered	631.filtered	327.filtered	21.filtered	819.filtered	217.filtered	257.filtered	945.filtered	789.filtered	971.filtered	19.filtered	511.filtered	1041.filtered	1027.filtered	817.filtered	211.filtered	185.filtered-threshold-0.0001	887.filtered	649.filtered	49.filtered	441.filtered	581.filtered	267.filtered	763.filtered-threshold-0.0001	267.filtered-threshold-0.0001	421.filtered-threshold-0.0001	1015.filtered	637.filtered	295.filtered-threshold-0.0001	435.filtered	519.filtered	805.filtered	565.filtered	507.filtered	225.filtered	145.filtered	479.filtered	449.filtered	183.filtered-threshold-0.0001	395.filtered	57.filtered	589.filtered-threshold-0.0001	175.filtered-threshold-0.0001	115.filtered	495.filtered	59.filtered	353.filtered	505.filtered	607.filtered	591.filtered	999.filtered	379.filtered	915.filtered	917.filtered	1071.filtered	47.filtered	1097.filtered	171.filtered	35.filtered	273.filtered-threshold-0.0001	749.filtered-threshold-0.0001	141.filtered	1111.filtered	959.filtered	17.filtered	451.filtered	351.filtered	203.filtered	295.filtered	493.filtered	491.filtered	929.filtered-threshold-0.0001	469.filtered-threshold-0.0001	677.filtered	215.filtered	143.filtered	539.filtered	693.filtered-threshold-0.0001	31.filtered	483.filtered	357.filtered	325.filtered	231.filtered	183.filtered	1083.filtered	341.filtered	1069.filtered	105.filtered	117.filtered
1036181	Friedmanniella flava	Friedmanniella	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria						0.000220957364067																8.16048774820331e-05																						0.0004424582983053																		0.0002252386052753																																																											0.0004980079681274																																								0.0003223999238924																																																							0.000248654191233																																		0.000248970168847					0.0002252928627906																													
1036677	Methanosarcina soligelidi	Methanosarcina	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea																																																																																																																																																																																																																																																												0.0026677956439467																																
1036778	Bosea lathyri	Bosea	Bradyrhizobiaceae	Rhizobiales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																											0.000196744705995																																																																																																																									0.0001958184554847																																																																																								
103690	Nostoc sp. PCC 7120 = FACHB-418	Nostoc	Nostocaceae	Nostocales		Cyanobacteria	Bacteria													0.0005003632846247																																																																																																																																																																																																																																																																															
103731	Saccharothrix espanaensis	Saccharothrix	Pseudonocardiaceae	Pseudonocardiales	Actinobacteria	Actinobacteria	Bacteria																					0.000132375188862																																																																								0.0001323751888008																																																																																																																																																																																															
1037320	Pseudogulbenkiania gefcensis	Pseudogulbenkiania	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria																																																																																																																																																																																																																																																																																							6.0548014575558415e-05					
103817	Janibacter terrae	Janibacter	Intrasporangiaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria																																																																																																																																0.0009919229134193																																																																																																																																																												
1038855	Exiguobacterium aquaticum	Exiguobacterium		Bacillales	Bacilli	Firmicutes	Bacteria																																																																																																																																																																		0.0002478658025384																		0.0002476329206117																																																																																																								
104097	Acetobacter estunensis	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria																	0.0013141887100141			0.001035281667779									0.0001469146533798																													0.00014237957327																																																																																																																																																																																																																	0.0013146142995448																	
104099	Acetobacter orleanensis	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria							9.788370251571384e-05															0.0003061356422626			0.0001898583377928													0.0002140917081918																																					0.0001219843750745									0.000217272672354								0.0002763096602566									0.0003208873667762																																																																														8.907685115156847e-05																	0.0001147780707062																																																																																			9.790025499660546e-05					
104101	Acetobacter indonesiensis	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria																						8.028432592338484e-05																																																																																																																																																																																																																																																																						
104102	Acetobacter tropicalis	Acetobacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																																						0.0007173258093826																																																																																																																																																																						
104176	Oscillochloris trichoides	Oscillochloris	Oscillochloridaceae	Chloroflexales	Chloroflexia	Chloroflexi	Bacteria																					0.000294618686325																													0.000912712792144											0.0004957943459067		0.001457641839092						0.0002140294438774										8.504189611362365e-05														0.0002947776992763																								0.0002123843226112																																												0.0003892346992				0.0010783709436508																																			0.0119956744921758	0.0025464193228371																						0.0007305022341556																																								0.0040115009153505																				0.000703219529994	
1044	Erythrobacter longus	Erythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																																																																																																																														8.228673473685743e-05																																																																														
1045317	Sphingomonas lutea	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria																																																																																																																					9.16924927997854e-05																																																																																																																																																																							
1045774	Nocardioides lianchengensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinobacteria	Actinobacteria	Bacteria																												0.0028852628674046																																0.0003784223886029							0.0003101342099384																																																																																																																													0.0003813884878518																																																																																												
1049583	Kocuria indica	Kocuria	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria									0.0002666214218193																																																																																																																																																									0.0001931895225667																		0.0001930080116533																																																																																																								
