Site_1,Site_2,Same_Site,Plant_1,Plant_2,Plant_1_ID,Plant_2_ID,Pair,Soil_1m,Soil_p,Root,Leaf_EN,Leaf_EP,Fruit_EN,Fruit_EP
1,5,FALSE,5,1,1_5,5_1,1_5 vs 5_1,0.3526461555648901,0.7530303499702616,0.3603090051758206,0.5815745348819313,0.6951080084514434,0.25165052595260196,0.7289957563558939
1,5,FALSE,5,2,1_5,5_2,1_5 vs 5_2,0.46153327524928334,0.7874318489941333,0.6456707262814588,0.4168283290159,0.6865833747181863,0.6285705571056798,0.7792615091778291
1,5,FALSE,5,3,1_5,5_3,1_5 vs 5_3,0.7731592106319017,0.8153826892671548,0.532945711109472,0.637367185542956,0.6316398384369846,0.9719039901282596,0.8074222838558476
1,5,FALSE,5,4,1_5,5_4,1_5 vs 5_4,0.5019472117066027,0.8639815898921084,0.48896219098492005,0.47023009386424697,0.48558709115417387,0.3428536847733458,0.23316046318078545
1,5,FALSE,5,5,1_5,5_5,1_5 vs 5_5,0.43350086967245893,0.7580523694110164,0.3534019920463172,0.4439801829381022,0.7324223947378062,0.26336647336641267,0.3592996511335361
1,5,FALSE,5,6,1_5,5_6,1_5 vs 5_6,0.4345876715288578,0.7862772653007585,0.32856336640654527,0.4426104603823268,0.7489044638056231,0.27782713910406776,0.31673229742883086
1,1,TRUE,6,7,1_6,1_7,1_6 vs 1_7,0.29906632359038837,0.359010994612237,0.4741028156212535,0.33158717834300044,0.36879934345773,0.2977877466631867,0.7314686938750143
1,1,TRUE,6,9,1_6,1_9,1_6 vs 1_9,0.5232984765369261,0.187447332034906,0.11214668940158677,0.40410969044887485,0.23317818588265812,0.49058953288011514,0.6636867881013694
1,1,TRUE,6,10,1_6,1_10,1_6 vs 1_10,0.20088607325056293,0.29624600777043564,0.6434761290208385,0.21674829984584462,0.4278333650614656,0.25055876395418697,0.9002822366769399
1,2,FALSE,6,1,1_6,2_1,1_6 vs 2_1,0.26055637522491315,0.21849460091795625,0.3093219556217901,0.48468635385861386,0.4792373254304376,0.5322388422751677,0.533462969326303
1,2,FALSE,6,2,1_6,2_2,1_6 vs 2_2,0.23087029001387718,0.3339642748945337,0.3482399147947421,0.5861762470066987,0.6597707831959803,0.3770298540046265,0.8942013963566439
1,2,FALSE,6,3,1_6,2_3,1_6 vs 2_3,0.2045480593619226,0.3250875484289953,0.34756598571619257,0.46106302376086983,0.5112651222351049,0.6685829757293615,0.7396770063552356
1,2,FALSE,6,4,1_6,2_4,1_6 vs 2_4,0.29512839235749766,0.17319047025141504,0.30014559975887806,0.5433950889652247,0.36683436245986006,0.8059648435632176,0.3563121151951169
1,2,FALSE,6,5,1_6,2_5,1_6 vs 2_5,0.36911163735598085,0.27111409923769075,0.2902391866953221,0.5763842952361732,0.7480354712038704,0.46555614345614754,0.8715557927506206
1,2,FALSE,6,6,1_6,2_6,1_6 vs 2_6,0.2638256688495157,0.28115776239805007,0.2001945570759557,0.45887682273205377,0.4785057630877428,0.7407242209745147,0.8728008524635806
1,2,FALSE,6,7,1_6,2_7,1_6 vs 2_7,0.3624553432063593,0.24925562937916051,0.3187895381263165,0.4912996367504593,0.5662566510225646,0.7421746000513774,0.8192976230691579
1,2,FALSE,6,8,1_6,2_8,1_6 vs 2_8,0.36547176016071836,0.21816100684693032,0.25621071021621317,0.6086889300992141,0.5860650039589959,0.34701945103502474,0.5085413044983912
1,2,FALSE,6,9,1_6,2_9,1_6 vs 2_9,0.2736577317274618,0.17729861266531574,0.20409792913411146,0.5176498223865728,0.3945985318829593,0.5765603296987983,0.6420835967167597
1,2,FALSE,6,10,1_6,2_10,1_6 vs 2_10,0.24827574813485342,0.28827958516746505,0.3156682997919934,0.5424866260868366,0.570440498912592,0.9792917502877789,0.6606649637520474
1,3,FALSE,6,3,1_6,3_3,1_6 vs 3_3,0.47167539522710283,0.2467398817265291,0.262964567072241,0.3303961989318564,0.3709161337010194,0.8597610280950644,0.859122226118615
1,3,FALSE,6,4,1_6,3_4,1_6 vs 3_4,0.43400621539000306,0.4484913480114281,0.3931460100743806,0.5051655783552733,0.4895756220921072,0.9604563792603534,0.6036912988267784
1,3,FALSE,6,5,1_6,3_5,1_6 vs 3_5,0.43757804923716537,0.40868082297987185,0.3282688483457182,0.4135189613099527,0.47169818242165146,0.3671133852031196,0.33633876365367255
1,3,FALSE,6,6,1_6,3_6,1_6 vs 3_6,0.3456562000826043,0.23890520959784364,0.32169585516608185,0.6877994328161262,0.3742161497898395,0.31521708807181403,0.8331222471887713
1,3,FALSE,6,7,1_6,3_7,1_6 vs 3_7,0.3213940178623989,0.26743841547034425,0.267568971579758,0.4345561055839958,0.4274117296838189,0.28966614721434203,0.705416107985839
1,3,FALSE,6,8,1_6,3_8,1_6 vs 3_8,0.315321758201427,0.48528643174212693,0.3190952769121177,0.46726284326622314,0.3651204268628501,0.30310081610419687,0.8883779190862192
1,4,FALSE,6,1,1_6,4_1,1_6 vs 4_1,0.26229357828890876,0.3874840589367271,0.7441065723423161,0.41214895364960896,0.5539401826853967,0.9481715836789689,0.46257900664463886
1,4,FALSE,6,2,1_6,4_2,1_6 vs 4_2,0.43193483667307564,0.36652844387976224,0.4963281431456537,0.3797945813299552,0.48883547240635655,0.40522576719032943,0.2507282845000602
1,4,FALSE,6,3,1_6,4_3,1_6 vs 4_3,0.3385347757483762,0.49684926949321717,0.3220571377646849,0.24664043153895465,0.3597962669712112,0.3121880638115369,0.9005172851285693
1,4,FALSE,6,4,1_6,4_4,1_6 vs 4_4,0.321807632925331,0.4999562138003105,0.3927099054056365,0.3102466448696543,0.38125514984729836,0.28574563415852333,0.7805171924222419
1,4,FALSE,6,6,1_6,4_6,1_6 vs 4_6,0.419235948460128,0.5468403187102061,0.28135980303571684,0.41649300664843,0.36810326799920756,0.3379695637905828,0.7479198748991527
1,4,FALSE,6,7,1_6,4_7,1_6 vs 4_7,0.6193171321938206,0.6291318437215402,0.37425091814061545,0.4409893342336593,0.24010129885844178,0.30210424657731655,0.8020827940704621
1,4,FALSE,6,8,1_6,4_8,1_6 vs 4_8,0.42607543747962007,0.6755317915549444,0.36123318721274494,0.3148984014963174,0.46665394398717047,0.5963372434150958,0.8104416776980569
1,4,FALSE,6,9,1_6,4_9,1_6 vs 4_9,0.3836983325949289,0.508153474205053,0.5209847404484497,0.254420544156838,0.42093350243405153,0.5473523404465153,0.3773987603911471
1,5,FALSE,6,1,1_6,5_1,1_6 vs 5_1,0.2874104992284915,0.31624790312944373,0.35517789882819295,0.6096802135398105,0.5949778473358759,0.36082630450829983,0.8893473631245861
1,5,FALSE,6,2,1_6,5_2,1_6 vs 5_2,0.4274098807154594,0.38558183493686504,0.6347027552391306,0.2694250809800382,0.37372103739173373,0.5701650199420976,0.847873196343037
1,5,FALSE,6,3,1_6,5_3,1_6 vs 5_3,0.7681673217457504,0.3507429230221006,0.5020305791374511,0.6394346234592116,0.5080390689202641,0.9730741709764412,0.6167402977165293
1,5,FALSE,6,4,1_6,5_4,1_6 vs 5_4,0.4423208432449405,0.44146574796742677,0.47974124838886906,0.4781748870434449,0.5278553868482201,0.43057254383747223,0.8522834586914755
1,5,FALSE,6,5,1_6,5_5,1_6 vs 5_5,0.37950796531578185,0.35929086407422856,0.37718425375640935,0.48667029304282816,0.5456071366904964,0.41322253507657214,0.8942620596303551
1,5,FALSE,6,6,1_6,5_6,1_6 vs 5_6,0.4014729353901289,0.28070109438303226,0.3225499921822288,0.3816375079312098,0.4622772746702578,0.38210939774476455,0.9021066913092258
1,1,TRUE,7,9,1_7,1_9,1_7 vs 1_9,0.4712813634419034,0.3756567849733234,0.5276247064877809,0.3816864401915419,0.45414683825306024,0.5385699256420255,0.8770205041017292
1,1,TRUE,7,10,1_7,1_10,1_7 vs 1_10,0.25766987843272954,0.49382581387258295,0.8532302145858229,0.3582715022599302,0.1628347122043,0.19520768343741154,0.4693520578901136
1,2,FALSE,7,1,1_7,2_1,1_7 vs 2_1,0.2898819372398887,0.3438530053853202,0.5221873218354721,0.49319132477482014,0.5668269432939212,0.30949889072479975,0.9220242556899563
1,2,FALSE,7,2,1_7,2_2,1_7 vs 2_2,0.28665220541922115,0.5156317727384376,0.5497488553257588,0.5759681931234109,0.6712331654578094,0.44534677155200747,0.45276866373998426
1,2,FALSE,7,3,1_7,2_3,1_7 vs 2_3,0.2725541755038571,0.4398043594744956,0.6241190260539505,0.47329680114444905,0.5451666132598725,0.48212638571755645,0.5741070302530353
1,2,FALSE,7,4,1_7,2_4,1_7 vs 2_4,0.32291188822147404,0.35736874796434603,0.5847670040963758,0.49909825412863534,0.47823728410956956,0.8197567611390583,0.945641608752045
